unknown,-1,0,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
12943,2023-11-01 14:46:27.800,GPS,190577418,0,3,283605800,2286,32,0.54,24.775917,121.0425087,130.84,0.032,176.1152,0.002,0,1
13030,2023-11-01 14:46:28.000,GPS,190777333,0,3,283606000,2286,32,0.54,24.775917,121.0425087,130.84,0.018,176.1152,0.009000001,0,1
13119,2023-11-01 14:46:28.200,GPS,190977440,0,3,283606200,2286,32,0.54,24.775917,121.0425087,130.84,0.025,176.1152,-0.032,0,1
13205,2023-11-01 14:46:28.400,GPS,191177612,0,3,283606400,2286,32,0.54,24.7759169,121.0425087,130.83,0.01,176.1152,-0.002,0,1
13292,2023-11-01 14:46:28.600,GPS,191377572,0,3,283606600,2286,32,0.54,24.7759169,121.0425087,130.84,0.024,176.1152,-0.046,0,1
13379,2023-11-01 14:46:28.800,GPS,191577348,0,3,283606800,2286,32,0.54,24.7759169,121.0425088,130.85,0.015,176.1152,0.021,0,1
13466,2023-11-01 14:46:29.000,GPS,191777369,0,3,283607000,2286,32,0.54,24.7759169,121.0425088,130.86,0.016,176.1152,-0.056,0,1
13553,2023-11-01 14:46:29.200,GPS,191977390,0,3,283607200,2286,32,0.54,24.7759169,121.0425087,130.87,0.019,176.1152,0.013,0,1
13637,2023-11-01 14:46:29.400,GPS,192177402,0,3,283607400,2286,32,0.54,24.7759169,121.0425087,130.88,0.028,176.1152,-0.005,0,1
13724,2023-11-01 14:46:29.600,GPS,192377362,0,3,283607600,2286,32,0.54,24.7759168,121.0425088,130.89,0.018,176.1152,0.002,0,1
13810,2023-11-01 14:46:29.800,GPS,192577379,0,3,283607800,2286,32,0.54,24.7759168,121.0425088,130.9,0.015,176.1152,-0.061,0,1
13898,2023-11-01 14:46:30.000,GPS,192777591,0,3,283608000,2286,32,0.54,24.7759168,121.0425088,130.9,0.026,176.1152,-0.071,0,1
13985,2023-11-01 14:46:30.200,GPS,192977577,0,3,283608200,2286,32,0.54,24.7759168,121.0425088,130.9,0.038,176.1152,0.023,0,1
14069,2023-11-01 14:46:30.400,GPS,193177563,0,3,283608400,2286,32,0.54,24.7759168,121.0425089,130.9,0.006,176.1152,0.009000001,0,1
14156,2023-11-01 14:46:30.600,GPS,193377354,0,3,283608600,2286,32,0.54,24.7759168,121.0425089,130.9,0.017,176.1152,0.03,0,1
14242,2023-11-01 14:46:30.800,GPS,193577347,0,3,283608800,2286,32,0.54,24.7759168,121.0425088,130.9,0.034,176.1152,-0.024,0,1
14330,2023-11-01 14:46:31.000,GPS,193777367,0,3,283609000,2286,32,0.54,24.7759168,121.0425088,130.92,0.012,176.1152,-0.005,0,1
14417,2023-11-01 14:46:31.200,GPS,193977448,0,3,283609200,2286,32,0.54,24.7759168,121.0425088,130.92,0.007,176.1152,0.057,0,1
14501,2023-11-01 14:46:31.400,GPS,194177350,0,3,283609400,2286,32,0.54,24.7759168,121.0425089,130.92,0.011,176.1152,-0.001,0,1
14588,2023-11-01 14:46:31.600,GPS,194377325,0,3,283609600,2286,32,0.54,24.7759168,121.0425089,130.92,0.01,176.1152,0.031,0,1
14674,2023-11-01 14:46:31.800,GPS,194577349,0,3,283609800,2286,32,0.54,24.7759168,121.0425089,130.91,0.006,176.1152,0.028,0,1
